time,PWM0,PWM1,PWM2,PWM3,ActivationTime
0.720000,38587,38844,38037,38132,0.018702
0.725000,38450,38923,38020,38077,0.019198
0.730000,38550,38898,38048,37997,0.019100
0.735000,38447,39004,37970,38062,0.018748
0.740000,38395,38797,38140,38213,0.019018
0.745000,38389,38841,38186,38008,0.019247
0.750000,38543,38930,37912,38054,0.019292
0.755000,38370,38790,38175,38187,0.019179
0.760000,38521,38907,37969,38055,0.019096
0.765000,38341,38824,38182,38173,0.019814
0.770000,38533,38752,38062,38078,0.018506
0.775000,38479,38913,37947,38062,0.018518
0.780000,38543,38853,38013,38006,0.018418
0.785000,38403,38723,38093,38217,0.018406
0.790000,38442,39003,37923,37850,0.018634
0.795000,38364,38689,38197,38287,0.018415
0.800000,38471,38969,37886,37936,0.018361
0.805000,38550,38880,37885,37998,0.018464
0.810000,38437,38802,37947,37959,0.018719
0.815000,38332,38707,38123,38155,0.018301
0.820000,38513,38723,37875,38174,0.018295
0.825000,38533,38686,38037,38062,0.018468
0.830000,38250,39033,37904,37827,0.018647
0.835000,38497,38632,37837,38166,0.018386
0.840000,38440,38635,38007,38303,0.020504
0.845000,38549,38844,37773,37933,0.018326
0.850000,38465,38814,37925,37938,0.018293
0.855000,38379,38908,37876,37978,0.018465
0.860000,38467,38603,38059,38095,0.018646
0.865000,38369,38651,38037,38152,0.018368
0.870000,38381,38899,37827,37947,0.018415
0.875000,38420,38615,37904,38303,0.018701
0.880000,38477,38735,37867,38064,0.018291
0.885000,38541,38671,37842,37949,0.018230
0.890000,38413,38525,38065,38201,0.018348
0.895000,38343,38867,37875,37890,0.018538
0.900000,38415,38489,37963,38356,0.018369
0.905000,38418,38759,37932,38070,0.018131
0.910000,38379,38652,37955,38209,0.018453
0.915000,38435,38716,37859,37952,0.018402
0.920000,38431,38690,37796,38219,0.018538
0.925000,38429,38591,38004,38159,0.018466
0.930000,38424,38744,37841,38015,0.018444
0.935000,38285,38631,37978,38138,0.018242
0.940000,38411,38514,38007,38178,0.018223
0.945000,38597,38523,37834,38191,0.018304
0.950000,38369,38649,37941,38031,0.018430
0.955000,38341,38706,37882,38119,0.018197
0.960000,38441,38568,37872,38112,0.018312
0.965000,38331,38632,37879,38122,0.018465
0.970000,38368,38507,37898,38209,0.018754
0.975000,38453,38546,37834,38209,0.018661
0.980000,38417,38547,37865,38009,0.018474
0.985000,38272,38679,37897,38079,0.018467
0.990000,38272,38498,37974,38323,0.018438
0.995000,38453,38536,37829,38096,0.019011
1.000000,38393,38483,37939,38049,0.018374
1.005000,38491,38538,37818,38059,0.018484
1.010000,38333,38547,37811,38190,0.018516
1.015000,38355,38519,37849,38020,0.018557
1.020000,38305,38445,37922,38374,0.018297
1.025000,38310,38460,37953,38249,0.018433
1.030000,38445,38535,37766,38179,0.018473
1.035000,38419,38521,37876,38074,0.018278
1.040000,38355,38363,37985,38235,0.019430
1.045000,38301,38503,37906,38136,0.019409
1.050000,38232,38534,37904,38231,0.019515
1.055000,38308,38323,37918,38269,0.020086
1.060000,38189,38348,38134,38367,0.019704
1.065000,38424,38507,37803,38130,0.019663
1.070000,38536,38482,37744,37961,0.019804
1.075000,38358,38469,37791,38141,0.019494
1.080000,38174,38305,38067,38424,0.019663
1.085000,38295,38519,37857,38127,0.019496
1.090000,38359,38400,37867,38155,0.019848
1.095000,38287,38337,37982,38329,0.019344
1.100000,38215,38427,37946,38290,0.022978
1.105000,38278,38412,37893,38219,0.020035
1.110000,38324,38283,38019,38186,0.019159
1.115000,38281,38430,37792,38083,0.019406
1.120000,38199,38245,38084,38293,0.019672
1.125000,38235,38443,37793,38321,0.019807
1.130000,38247,38249,38003,38305,0.019320
1.135000,38331,38364,37863,38165,0.019572
1.140000,38328,38361,37798,38243,0.019611
